Day,Group,Metric,Unit,Amount
2023-05-28,Uncategorized,"Weight",lbs,144.5
2023-06-09,Uncategorized,"Weight",lbs,151.5
2023-06-12,Uncategorized,"Sleep",hr:min,8.0
2023-06-13,Uncategorized,"Sleep",hr:min,8.0
2023-06-16,Uncategorized,"Sleep",hr:min,7.5
2023-06-17,Uncategorized,"Sleep",hr:min,7.5
2023-06-18,Uncategorized,"Sleep",hr:min,8.0
2023-06-19,Uncategorized,"Sleep",hr:min,8.25
2023-06-20,Uncategorized,"Sleep",hr:min,7.0
2023-06-24,Uncategorized,"Sleep",hr:min,8.0
2023-06-24,Uncategorized,"Weight",lbs,151.4
2023-06-25,Uncategorized,"Sleep",hr:min,8.0
2023-06-26,Uncategorized,"Sleep",hr:min,8.0
2023-06-27,Uncategorized,"Sleep",hr:min,8.0
2023-06-28,Uncategorized,"Sleep",hr:min,9.0
2023-06-29,Uncategorized,"Sleep",hr:min,10.0
2023-06-30,Uncategorized,"Sleep",hr:min,7.0
2023-07-03,Uncategorized,"Sleep",hr:min,7.0
2023-07-06,Uncategorized,"Sleep",hr:min,8.0
2023-07-09,Uncategorized,"Sleep",hr:min,8.0
2023-07-10,Uncategorized,"Sleep",hr:min,8.0
2023-07-11,Uncategorized,"Sleep",hr:min,7.0
2023-07-14,Uncategorized,"Weight",lbs,149.2
2023-07-28,Uncategorized,"Weight",lbs,149.0
2023-08-25,Uncategorized,"Weight",lbs,145.2
2023-08-28,Uncategorized,"Weight",lbs,146.6
2023-08-28,Uncategorized,"Body Fat",%,12.0
2023-09-01,Uncategorized,"Weight",lbs,145.2
2023-09-08,Uncategorized,"Weight",lbs,145.8
2023-09-17,Uncategorized,"Weight",lbs,148.2
2023-09-22,Uncategorized,"Weight",lbs,145.4
2023-09-29,Uncategorized,"Weight",lbs,145.4
2023-10-06,Uncategorized,"Weight",lbs,143.4
2023-10-13,Uncategorized,"Weight",lbs,143.4
2023-10-27,Uncategorized,"Weight",lbs,142.6
2023-11-03,Uncategorized,"Weight",lbs,142.6
2023-11-10,Uncategorized,"Weight",lbs,141.6
2023-11-17,Uncategorized,"Weight",lbs,141.6
2023-11-24,Uncategorized,"Weight",lbs,144.8
2023-12-01,Uncategorized,"Weight",lbs,142.0
2023-12-08,Uncategorized,"Weight",lbs,142.0
2024-01-12,Uncategorized,"Weight",lbs,144.2
2024-01-19,Uncategorized,"Weight",lbs,143.8
2024-01-26,Uncategorized,"Weight",lbs,144.2
2024-02-02,Uncategorized,"Weight",lbs,144.2
2024-02-09,Uncategorized,"Weight",lbs,145.2
2024-02-16,Uncategorized,"Weight",lbs,143.6
2024-03-01,Uncategorized,"Weight",lbs,144.6
2024-03-08,Uncategorized,"Weight",lbs,143.8
2024-03-15,Uncategorized,"Weight",lbs,145.8
2024-03-22,Uncategorized,"Weight",lbs,144.2
2024-03-30,Uncategorized,"Weight",lbs,145.6
2024-04-12,Uncategorized,"Weight",lbs,147.4
2024-04-13,Uncategorized,"Weight",lbs,144.6
2024-04-19,Uncategorized,"Weight",lbs,147.4
2024-04-26,Uncategorized,"Weight",lbs,145.6
2024-05-03,Uncategorized,"Weight",lbs,146.6
2024-05-10,Uncategorized,"Weight",lbs,145.0
2024-05-17,Uncategorized,"Weight",lbs,146.0
2024-05-24,Uncategorized,"Weight",lbs,144.8
2024-05-31,Uncategorized,"Weight",lbs,144.8
2024-06-07,Uncategorized,"Weight",lbs,144.8
2024-06-14,Uncategorized,"Weight",lbs,145.2
2024-06-21,Uncategorized,"Weight",lbs,147.2
2024-06-28,Uncategorized,"Weight",lbs,150.6
2024-06-29,Uncategorized,"Weight",lbs,148.8
2024-07-12,Uncategorized,"Weight",lbs,146.0
2024-07-19,Uncategorized,"Weight",lbs,146.0
2024-07-26,Uncategorized,"Weight",lbs,148.8
2024-08-02,Uncategorized,"Weight",lbs,147.6
2024-08-09,Uncategorized,"Weight",lbs,147.6
2024-08-23,Uncategorized,"Weight",lbs,147.6
2024-08-30,Uncategorized,"Weight",lbs,146.4
2024-09-07,Uncategorized,"Weight",lbs,147.6
2024-09-13,Uncategorized,"Weight",lbs,149.8
2024-09-20,Uncategorized,"Weight",lbs,149.8
2024-09-27,Uncategorized,"Weight",lbs,148.6
2024-10-04,Uncategorized,"Weight",lbs,148.6
2024-10-11,Uncategorized,"Weight",lbs,148.6
2024-10-16,Uncategorized,"Weight",lbs,150.8
2024-10-16,Uncategorized,"Body Fat",%,12.5
2024-10-18,Uncategorized,"Weight",lbs,149.8
2024-10-25,Uncategorized,"Weight",lbs,148.2
2024-11-01,Uncategorized,"Weight",lbs,149.8
2024-11-15,Uncategorized,"Weight",lbs,147.4
2024-12-06,Uncategorized,"Weight",lbs,150.8
2024-12-13,Uncategorized,"Weight",lbs,149.2
2024-12-20,Uncategorized,"Weight",lbs,150.2
2025-01-10,Uncategorized,"Weight",lbs,149.4
2025-02-08,Uncategorized,"Weight",lbs,150.8
2025-03-08,Uncategorized,"Weight",lbs,149.6
2025-03-16,Uncategorized,"Weight",lbs,149.6
2025-04-07,Uncategorized,"Weight",lbs,150.8
2025-04-20,Uncategorized,"Weight",lbs,150.8
2025-05-16,Uncategorized,"Weight",lbs,150.8
2025-05-23,Uncategorized,"Weight",lbs,148.8
2025-06-06,Uncategorized,"Weight",lbs,148.2
2025-06-20,Uncategorized,"Weight",lbs,150.2
2025-06-28,Uncategorized,"Weight",lbs,149.8
2025-07-13,Dinner,"Weight",lbs,149.8
2025-07-19,Uncategorized,"Weight",lbs,148.0
2025-07-25,Uncategorized,"Weight",lbs,150.8
2025-07-26,Uncategorized,"Weight",lbs,148.6
2025-08-01,Uncategorized,"Weight",lbs,149.6
2025-08-10,Uncategorized,"Weight",lbs,148.4
2025-08-22,Uncategorized,"Weight",lbs,148.4
2025-09-29,Uncategorized,"Weight",lbs,148.6
2025-10-03,Lunch,"Weight",lbs,149.6
2025-10-14,Uncategorized,"Weight",lbs,147.6
2025-10-17,Uncategorized,"Weight",lbs,147.6
2025-10-24,Uncategorized,"Weight",lbs,148.6
2025-11-03,Uncategorized,"Weight",lbs,148.2
2025-11-10,Uncategorized,"Weight",lbs,148.8
2025-11-21,Uncategorized,"Weight",lbs,148.0
2025-12-12,Uncategorized,"Weight",lbs,148.2
2025-12-29,Uncategorized,"Weight",lbs,148.2
2026-01-09,Uncategorized,"Weight",lbs,149.0
2026-02-06,Uncategorized,"Weight",lbs,149.0
2026-02-13,Uncategorized,"Weight",lbs,150.2
2026-04-03,Uncategorized,"Weight",lbs,150.2
2026-04-10,Uncategorized,"Weight",lbs,149.2
2026-04-17,Uncategorized,"Weight",lbs,149.6
